id,ncomments
"109935","0"
"110101","0"
"110169","3"
"110218","10"
"110278","2"
"110354","0"
"110369","2"
"110388","0"
"110533","1"
"110558","0"
"110575","14"
"110599","0"
"110600","4"
"110646","3"
"110749","0"
"110943","0"
"110972","2"
"111014","1"
"111040","3"
"111258","2"
"111294","1"
"111296","6"
"111308","2"
"111398","2"
"111550","2"
"111705","0"
"111733","0"
"111738","3"
"111777","1"
"111935","4"
"111975","1"
"111989","0"
"112009","1"
"112028","4"
"112070","3"
"112096","2"
"112208","2"
"112239","0"
"112325","2"
"112329","0"
"112494","7"
"112553","0"
"112742","5"
"112743","1"
"112772","0"
"112845","1"
"112931","1"
"112952","0"
"113005","1"
"113031","3"
"113057","5"
"113123","6"
"113266","3"
"113291","6"
"113445","4"
"113482","9"
"113560","2"
"114661","3"
"114708","4"
"114784","0"
"114823","1"
"114875","0"
"114890","0"
"114897","7"
"114912","1"
"115119","2"
"115161","5"
"115232","0"
"115286","1"
"115330","2"
"115428","4"
"115441","0"
"115507","9"
"115530","0"
"115576","0"
"115613","4"
"115695","2"
"115721","1"
"115911","2"
"115962","1"
"116052","4"
"116079","12"
"116093","7"
"116170","8"
"116222","1"
"116313","2"
"116314","5"
"116328","6"
"116500","5"
"116518","3"
"116663","1"
"116668","1"
"116716","2"
"116756","0"
"116765","1"
"116819","7"
"116870","2"
"116915","0"
"116960","7"
"117113","0"
"117129","1"
"117170","6"
"117316","3"
"117382","3"
"117433","6"
"117441","4"
"117460","6"
"117518","6"
"117666","2"
"117671","8"
"117752","8"
"117798","5"
"117878","0"
"117986","7"
"118022","0"
"118057","0"
"118119","0"
"118239","0"
"118271","4"
"118276","1"
"118286","5"
"118290","3"
"118330","0"
"118344","11"
"118383","5"
"118435","18"
"118515","2"
"118518","2"
"118732","5"
"118804","11"
"118811","1"
"118988","7"
"119094","4"
"119165","13"
"119345","0"
"119364","1"
"119551","5"
"119640","3"
"119687","5"
"119695","0"
"119727","2"
"119764","2"
"119808","3"
"119869","2"
"119920","3"
"119979","1"
"120025","2"
"120030","0"
"120071","4"
"120185","3"
"120218","1"
"120270","2"
"120357","0"
"120358","4"
"120361","0"
"120402","3"
"120414","0"
"120472","8"
"120614","2"
"120680","4"
"120808","16"
"120813","0"
"120861","5"
"120931","2"
"120990","3"
"121035","2"
"121044","1"
"121062","9"
"121080","17"
"121097","1"
"121100","11"
"121179","2"
"121197","0"
"121200","1"
"121238","2"
"121305","0"
"121340","4"
"121351","1"
"121370","0"
"121371","7"
"121379","4"
"121465","2"
"121570","1"
"121583","1"
"121618","3"
"121643","1"
"121801","4"
"121924","4"
"121930","4"
"121972","3"
"121993","0"
"122231","0"
"122270","0"
"122424","5"
"122441","0"
"122570","3"
"122576","12"
"122589","1"
"122726","5"
"122954","0"
"122994","7"
"123018","0"
"123143","1"
"123158","2"
"123204","3"
"123291","5"
"123402","0"
"123415","1"
"123463","6"
"123542","0"
"123622","5"
"123659","0"
"123717","8"
"123720","0"
"123782","0"
"123811","3"
"123860","0"
"123894","1"
"123911","0"
"123929","1"
"124023","4"
"124172","3"
"124256","1"
"124297","6"
"124429","2"
"124510","1"
"124520","3"
"124612","8"
"124632","0"
"124633","4"
"124667","0"
"124904","5"
"126148","1"
"126248","0"
"126342","4"
"126369","1"
"126373","2"
"126393","3"
"126399","5"
"126424","5"
"126507","0"
"126659","2"
"126753","4"
"126812","8"
"126847","0"
"126848","11"
"126872","0"
"126890","0"
"127085","0"
"127156","0"
"127168","1"
"127180","6"
"127325","0"
"127433","1"
"127455","1"
"127461","0"
"127514","0"
"127537","2"
"127581","0"
"127603","1"
"127606","8"
"127608","1"
"127615","1"
"127637","1"
"127711","2"
"127802","2"
"127938","2"
"128139","2"
"128186","0"
"128212","0"
"128286","2"
"128397","2"
"128543","5"
"128565","5"
"128673","0"
"128795","4"
"128820","6"
"128878","3"
"128905","2"
"129026","0"
"129058","1"
"129207","1"
"129218","1"
"129366","0"
"129384","0"
"129447","16"
"129538","2"
"129560","3"
"129754","0"
"129883","2"
"129951","6"
"130011","17"
"130013","2"
"130053","0"
"130054","5"
"130075","0"
"130269","2"
"130284","9"
"130358","2"
"130693","6"
"130732","6"
"130901","3"
"130961","7"
"131085","3"
"131118","0"
"131156","4"
"131373","2"
"131380","3"
"131761","0"
"131789","1"
"131837","5"
"132923","1"
"133038","0"
"133043","3"
"133052","4"
"133104","0"
"133166","2"
"133197","0"
"133200","2"
"133214","2"
"133276","6"
"133305","6"
"133345","8"
"133476","0"
"133549","0"
"133565","0"
"133588","1"
"133629","0"
"133698","7"
"133737","1"
"133787","10"
"133808","1"
"133931","2"
"134011","4"
"134178","1"
"134187","2"
"134303","4"
"134316","2"
"134329","2"
"134362","1"
"134429","5"
"134452","2"
"134458","1"
"134578","0"
"134601","0"
"134792","10"
"134808","3"
"134813","12"
"134828","0"
"134849","6"
"134876","0"
"134904","3"
"134918","0"
"134972","1"
"135035","0"
"135150","0"
"135465","0"
"135474","0"
"135501","1"
"135583","1"
"135623","0"
"135714","1"
"135842","10"
"135848","2"
"135884","13"
"135947","2"
"135963","0"
"136045","4"
"136122","6"
"136210","3"
"136265","1"
"136356","0"
"136558","1"
"136625","2"
"136626","1"
"136673","1"
"136698","3"
"136730","1"
"136800","7"
"136806","4"
"136816","4"
"137015","5"
"137087","0"
"137199","3"
"137227","3"
"137251","0"
"137301","5"
"137310","0"
"137337","3"
"137343","1"
"137451","0"
"137671","0"
"137782","0"
"137811","2"
"137907","2"
"137930","3"
"138055","1"
"138133","0"
"138395","1"
"138507","1"
"138512","3"
"138531","0"
"138538","2"
"138546","2"
"138606","16"
"138668","5"
"138765","2"
"138813","1"
"138817","3"
"138869","1"
"138910","2"
"138966","1"
"139181","1"
"139364","13"
"139394","0"
"139440","0"
"139622","2"
"139679","0"
"139711","1"
"139783","3"
"139839","2"
"139843","0"
"139854","2"
"139877","3"
"139889","1"
"139907","2"
"139932","2"
"139952","18"
"139970","0"
"140020","8"
"140023","1"
"140034","0"
"140073","2"
"140232","6"
"140235","2"
"140244","4"
"140246","2"
"140248","0"
"140265","4"
"140293","0"
"140302","5"
"140326","1"
"140346","1"
"140431","0"
"140460","0"
"140580","0"
"140584","1"
"140635","8"
"140703","2"
"140704","0"
"140714","6"
"140781","0"
"140803","1"
"140984","3"
"141004","7"
"141080","0"
"141094","1"
"141291","1"
"141361","3"
"141502","4"
"141553","2"
"141586","5"
"141596","5"
"141599","1"
"141637","5"
"141749","2"
"141780","0"
"141846","4"
"141954","0"
"142031","2"
"142100","8"
"142142","0"
"142214","1"
"142231","0"
"142260","0"
"142333","1"
"142398","2"
"142543","0"
"142566","1"
"142581","4"
"142625","0"
"142633","0"
"142673","0"
"142718","0"
"142956","3"
"143025","3"
"143039","1"
"143070","6"
"143113","0"
"143122","5"
"143133","3"
"143141","5"
"143152","1"
"143167","0"
"143168","1"
"143205","0"
"143292","3"
"143411","2"
"143445","0"
"143467","1"
"143540","1"
"143571","1"
"143630","0"
"143640","5"
"143675","0"
"143690","5"
"143700","4"
"143719","0"
"143962","1"
"143980","0"
"144014","2"
"144031","4"
"144034","1"
"144054","2"
"144087","0"
