id,activity_time
"33148","162"
"33161","325713"
"33189","4457"
"33212","306"
"33257","703241"
"33273","396"
"33293","2139265"
"33294","98"
"33308","15586"
"33314","1949418"
"33343","691"
"33352","898"
"33410","2098102"
"33428","1273177"
"33456","1701876"
"33459","1752203"
"33460","789079"
"33491","188"
"33507","516"
"33559","18"
"33565","5145"
"33585","3410538"
"33603","187"
"33604","1293352"
"33627","21"
"33637","600"
"33641","13010"
"33648","1844398"
"33663","326"
"33698","569932"
"33722","25"
"33811","1872913"
"33822","127"
"33830","540068"
"33834","120021"
"33844","953"
"33871","1238"
"33900","2183652"
"33909","595863"
"33950","1306"
"33990","731"
"34003","998033"
"34022","134"
"34039","119"
"34042","2623547"
"34130","469701"
"34142","2242515"
"34159","142"
"34205","222120"
"34207","2912"
"34241","9"
"34255","6074"
"34271","1586079"
"34282","723"
"34298","920826"
"34326","373"
"34337","15"
"34339","244198"
"34343","1116767"
"34350","486"
"34368","33"
"34397","207"
"34419","3509521"
"34440","244"
"34519","8584"
"34542","824"
"34577","35047"
"34599","36"
"34661","66"
"34674","2457"
"34687","1467333"
"34698","48"
"34707","428"
"34718","129"
"34782","348"
"34810","38"
"34871","1676227"
"34904","3364"
"34913","2532192"
"34952","3259"
"34955","244"
"34961","715"
"34962","189"
"34965","94"
"34988","576"
"34992","3814377"
"35015","1171413"
"35053","96614"
"35089","59524"
"35144","445"
"35222","190"
"35239","20"
"35254","600"
"35261","13"
"35264","200901"
"35307","830573"
"35387","2572697"
"35441","1522311"
"35450","1290537"
"35492","1289644"
"35495","3929"
"35542","11"
"35556","457951"
"35571","838"
"35572","83300"
"35611","50730"
"35635","1911149"
"35704","304"
"35720","251"
"35735","2230"
"35741","219"
"35756","4838"
"35776","379"
"35791","1317626"
"35831","523"
"35880","7141"
"35891","224"
"35924","380531"
"35977","43405"
"35998","1465"
"36001","3633230"
"36047","905"
"36073","697"
"36117","28238"
"36128","1140938"
"36143","2580"
"36156","503"
"36158","1239925"
"36172","839646"
"36263","3170"
"36267","399534"
"36272","287"
"36313","1409911"
"36331","821699"
"36355","8398"
"36363","1531068"
"36406","1424"
"36418","362"
"36427","289"
"36458","391931"
"36462","3179131"
"36468","2028494"
"36517","821"
"36580","70"
"36598","11739"
"36609","3714073"
"36618","1701933"
"36629","3689144"
"36671","1711957"
"36726","1897109"
"36735","274"
"36754","2568511"
"36774","1298"
"36804","157"
"36807","25"
"36831","3012935"
"36873","1618294"
"36909","346"
"36948","1344"
"36986","591691"
"37036","523547"
"37049","584344"
"37121","1519466"
"37147","321"
"37165","480"
"37169","75"
"37175","596993"
"37183","84"
"37196","57842"
"37208","123795"
"37243","1309"
"37246","448"
"37270","1680906"
"37327","2649"
"37338","106"
"37380","8667"
"37383","1191196"
"37388","1260222"
"37417","736377"
"37457","11323"
"37472","78"
"37481","3394364"
"37505","1583710"
"37519","3752643"
"37559","300"
"37568","13"
"37577","595"
"37588","1599540"
"37639","1226"
"37676","89"
"37724","20"
"37734","67"
"37820","94"
"37855","329589"
"37861","304"
"37864","82"
"37871","1716"
"37875","4733"
"37893","606"
"37934","63"
"37949","18"
"37989","37"
"38001","2588524"
"38037","3119822"
"38051","1150457"
"38062","128"
"38071","1227889"
"38074","66"
"38112","28"
"38119","14"
"38134","12"
"38147","91"
"38149","143"
"38150","26"
"38156","36"
"38241","1806909"
"38245","342"
"38247","1501"
"38250","2014162"
"38321","2961686"
"38331","154"
"38501","172923"
"38502","34477"
"38504","32003"
"38546","395"
"38567","32004"
"38629","1391092"
"38644","14980"
"38655","3650438"
"38660","26"
"38708","114"
"38715","641"
"38890","468004"
"38899","94"
"38925","213"
"38942","457110"
"38960","125"
"38972","1545"
"38990","2821"
"39014","977263"
"39051","471"
"39055","96"
"39077","1561133"
"39087","48"
"39097","1632996"
"39101","922332"
"39122","119"
"39165","1062"
"39205","362"
"39271","922"
