id,activity_time
"3785258","5071863"
"3786681","196"
"3792669","36"
"3793135","1047560"
"3795916","122416"
"3799546","6"
"3801787","14374"
"3807061","4808128"
"3807606","13"
"3808206","2516"
"3811370","1844"
"3814198","224513"
"3814969","19"
"3814992","4570121"
"3815232","1040857"
"3818689","56"
"3819481","40075"
"3824924","1"
"3826360","21"
"3833416","159"
"3833460","180042"
"3836552","26"
"3837154","120"
"3837294","398705"
"3839262","4614043"
"3844630","456584"
"3846239","10"
"3846756","867991"
"3846980","19"
"3849397","41"
"3853127","11"
"3857281","726884"
"3857519","801441"
"3858236","139"
"3859876","1105530"
"3860655","767062"
"3860946","961637"
"3862473","60"
"3864013","63495"
"3873196","13"
"3877573","362"
"3883006","4808634"
"3885793","247307"
"3889833","1194254"
"3890091","1609193"
"3894481","643378"
"3897770","52"
"3900154","381871"
"3903495","1204572"
"3904577","17"
"3905027","76"
"3909399","15"
"3912906","313"
"3916266","468093"
"3916514","14"
"3917610","3035718"
"3918932","18"
"3919199","16873"
"3920948","378"
"3921192","46"
"3922767","8550"
"3928060","147"
"3930426","3063979"
"3931690","18128"
"3932605","2862"
"3934099","8"
"3934360","47246"
"3936497","6646"
"3937922","2047630"
"3940273","1980583"
"3944286","17"
"3945958","170"
"3950846","3099737"
"3955619","686"
"3958196","13078"
"3963814","163"
"3964666","496414"
"3968310","638153"
"3971218","249588"
"3973325","4335211"
"3974502","12"
"3975481","2445"
"3985915","2586"
"3992029","4"
"3996243","1223125"
"3999919","26"
"4002599","7"
"4004225","46"
"4007846","4"
"4008522","1553"
"4009887","33"
"4010724","2239133"
"4016587","13"
"4017089","57"
"4017304","23"
"4018174","2445654"
"4018501","599"
"4019121","560"
"4027518","495"
"4029040","0"
"4029603","221"
