,userid_so,accountid,userid_sse,topic,score,postid,user_id_type,source
278,247.0,0.0,149722.0,T11,1,191692,answer_owner_id,so
279,247.0,0.0,5304.0,T11,1,191692,answer_owner_id,so
280,247.0,0.0,221316.0,T11,1,191692,answer_owner_id,so
281,247.0,0.0,208903.0,T11,1,191692,answer_owner_id,so
282,247.0,0.0,95084.0,T11,1,191692,answer_owner_id,so
283,247.0,0.0,157722.0,T11,1,191692,answer_owner_id,so
284,247.0,0.0,58656.0,T11,1,191692,answer_owner_id,so
285,247.0,0.0,41728.0,T11,1,191692,answer_owner_id,so
286,247.0,0.0,21498.0,T11,1,191692,answer_owner_id,so
287,247.0,0.0,35967.0,T11,1,191692,answer_owner_id,so
288,247.0,0.0,150028.0,T11,1,191692,answer_owner_id,so
289,247.0,0.0,116929.0,T11,1,191692,answer_owner_id,so
290,247.0,0.0,13288.0,T11,1,191692,answer_owner_id,so
291,247.0,0.0,98398.0,T11,1,191692,answer_owner_id,so
292,247.0,0.0,96732.0,T11,1,191692,answer_owner_id,so
293,247.0,0.0,104513.0,T11,1,191692,answer_owner_id,so
294,247.0,0.0,26465.0,T11,1,191692,answer_owner_id,so
295,247.0,0.0,115086.0,T11,1,191692,answer_owner_id,so
296,247.0,0.0,49551.0,T11,1,191692,answer_owner_id,so
297,247.0,0.0,207328.0,T11,1,191692,answer_owner_id,so
298,247.0,0.0,122862.0,T11,1,191692,answer_owner_id,so
299,247.0,0.0,4442.0,T11,1,191692,answer_owner_id,so
300,247.0,0.0,60146.0,T11,1,191692,answer_owner_id,so
301,247.0,0.0,41932.0,T11,1,191692,answer_owner_id,so
302,247.0,0.0,190681.0,T11,1,191692,answer_owner_id,so
303,247.0,0.0,166191.0,T11,1,191692,answer_owner_id,so
304,247.0,0.0,4564.0,T11,1,191692,answer_owner_id,so
305,247.0,0.0,67657.0,T11,1,191692,answer_owner_id,so
306,247.0,0.0,108786.0,T11,1,191692,answer_owner_id,so
307,247.0,0.0,134037.0,T11,1,191692,answer_owner_id,so
308,247.0,0.0,68464.0,T11,1,191692,answer_owner_id,so
309,247.0,0.0,25015.0,T11,1,191692,answer_owner_id,so
310,247.0,0.0,27677.0,T11,1,191692,answer_owner_id,so
311,247.0,0.0,4427.0,T11,1,191692,answer_owner_id,so
312,247.0,0.0,206729.0,T11,1,191692,answer_owner_id,so
313,247.0,0.0,175653.0,T11,1,191692,answer_owner_id,so
314,247.0,0.0,35101.0,T11,1,191692,answer_owner_id,so
315,247.0,0.0,169339.0,T11,1,191692,answer_owner_id,so
316,247.0,0.0,174855.0,T11,1,191692,answer_owner_id,so
317,247.0,0.0,116126.0,T11,1,191692,answer_owner_id,so
318,247.0,0.0,164223.0,T11,1,191692,answer_owner_id,so
319,247.0,0.0,69852.0,T11,1,191692,answer_owner_id,so
320,247.0,0.0,47761.0,T11,1,191692,answer_owner_id,so
321,247.0,0.0,84120.0,T11,1,191692,answer_owner_id,so
322,247.0,0.0,64186.0,T11,1,191692,answer_owner_id,so
323,247.0,0.0,95334.0,T11,1,191692,answer_owner_id,so
324,247.0,0.0,5136.0,T11,1,191692,answer_owner_id,so
325,247.0,0.0,35345.0,T11,1,191692,answer_owner_id,so
326,247.0,0.0,40482.0,T11,1,191692,answer_owner_id,so
327,247.0,0.0,152922.0,T11,1,191692,answer_owner_id,so
328,247.0,0.0,164979.0,T11,1,191692,answer_owner_id,so
329,247.0,0.0,190090.0,T11,1,191692,answer_owner_id,so
330,247.0,0.0,449.0,T11,1,191692,answer_owner_id,so
331,247.0,0.0,157945.0,T11,1,191692,answer_owner_id,so
332,247.0,0.0,170227.0,T11,1,191692,answer_owner_id,so
333,247.0,0.0,183682.0,T11,1,191692,answer_owner_id,so
334,247.0,0.0,114602.0,T11,1,191692,answer_owner_id,so
335,247.0,0.0,164.0,T11,1,191692,answer_owner_id,so
336,247.0,0.0,186682.0,T11,1,191692,answer_owner_id,so
337,247.0,0.0,78662.0,T11,1,191692,answer_owner_id,so
338,247.0,0.0,136859.0,T11,1,191692,answer_owner_id,so
339,247.0,0.0,72027.0,T11,1,191692,answer_owner_id,so
340,247.0,0.0,130269.0,T11,1,191692,answer_owner_id,so
341,247.0,0.0,155462.0,T11,1,191692,answer_owner_id,so
342,247.0,0.0,4334.0,T11,1,191692,answer_owner_id,so
343,247.0,0.0,169503.0,T11,1,191692,answer_owner_id,so
344,247.0,0.0,16479.0,T11,1,191692,answer_owner_id,so
345,247.0,0.0,57016.0,T11,1,191692,answer_owner_id,so
346,247.0,0.0,164694.0,T11,1,191692,answer_owner_id,so
347,247.0,0.0,80910.0,T11,1,191692,answer_owner_id,so
348,247.0,0.0,13203.0,T11,1,191692,answer_owner_id,so
349,247.0,0.0,142657.0,T11,1,191692,answer_owner_id,so
350,247.0,0.0,162250.0,T11,1,191692,answer_owner_id,so
351,247.0,0.0,29604.0,T11,1,191692,answer_owner_id,so
352,247.0,0.0,158850.0,T11,1,191692,answer_owner_id,so
353,247.0,0.0,167377.0,T11,1,191692,answer_owner_id,so
354,247.0,0.0,137843.0,T11,1,191692,answer_owner_id,so
355,247.0,0.0,130761.0,T11,1,191692,answer_owner_id,so
356,247.0,0.0,55837.0,T11,1,191692,answer_owner_id,so
357,247.0,0.0,80669.0,T11,1,191692,answer_owner_id,so
358,247.0,0.0,127606.0,T11,1,191692,answer_owner_id,so
